They Pay a hefty amount to police every month they have full right to park anywhere they want. Public can go to hell,N
thanks. Appreciate your quick response time,N
+AEA-rjraunac +AEA-dtptraffic +AEA-DelhiPolice stuck at rajokri flyover from gurgaon to delhi.. it's daily problem now,A
+ACI-+AEA-nitin+AF8-gadkari +AEA-dtptraffic +AEA-gurgaonpolice sir, Rajokri border towards Delhi is major traffic mess. Trucks come in early to lineup to jam up+ACI-,A
+AEA-dtptraffic heavy jam in City park hotel and kappseera modi by your traffic staff to stop tourists buses and to clear traffic,A
+AEA-dtptraffic caught in traffic for about an hour near ambience mall gurgaon towards delhi.,A
+AEA-dtptraffic Kindly avoid ring road from AIIMS to moti bagh . very heavy and slow traffic.,A
Traffic Alert Obstruction in traffic in the carriageway from Rajokari flyover towards Gurugram due to an accident on Rajokari flyover.,A
Huge traffic jam in maujpur road no. 66. Metro piller no. 208. +AEA-pwddelhi +AEA-MCDdelhi +AEA-dtptraffic +AEA-CMODilli +AEA-PMOIndia +AEA-DelhiMetro+AF8- pic.twitter.com/vxnZHBvb4h,A
+ACI-A huge traffic stuck from seelampur flyover towards ansari road. Red Light not working, +AEA-dtptraffic sleeping +ACY- Citizens in trouble. +ACM-shame+ACI-,A
+AEA-dtptraffic daily jam perladpur to mehrauli,A
Uttam Nagar East Metro station +ACY- Uttam Nagar Chowk needs a similar action urgently,A
Sir Salute To You for this initiative request you to initiate this on Govind Puri Main Road also Regards,A
He is fully aware of the illegal issue but Dcp North and Dcp T does nothing. They are intentionally ignoring clearing the area.,A
+AEA-dtptraffic as always civil line main road. Regular complaints no permanent action till now pic.twitter.com/mkgmkW9KfJ,A
+AEA-dtptraffic huge huge huge standing criss cross traffic at burari ring road Stoppage time 15 min,A
+AEA-CPDelhi +AEA-dtptraffic bumper to bumber crawling traffic from western air command to T3. Pls help. Flight miss ho jayegi,A
Bad traffic from Aims to lajpat +AEA-dtptraffic .plz avoid this route.,A
+ACI-+AEA-dtptraffic just before nawada metro station. There was many e+AC0-riksha coming in opposite direction, I was able to click just one. pic.twitter.com/YJYENvpn5P+ACI-,A
I've never seen cops challaning bikers without helmets here or people jumping red lights.Those people are a major cause of jams on this road,A
+AEA-dtptraffic Ppg nr narwana road opposite Sarswati kunj apt and SBI bank opposite press apt again parking start few days ago remove parking,A
+AEA-dtptraffic Very heavy +ACM-Traffic on NH24 from Akshardham till Millennium Park Crossing and then onwards till Kale Khan.,A
+AEA-dtptraffic Heavy Traffic at Dwarka More.. Why didn't you assign permanent person here?,A
Why consider Madanpur Khadar part of Delhi when you can't control traffic here? +AEA-dtptraffic +AEA-ArvindKejriwal,A
+ACI-Delhi gate intersection,Darya ganj Ansari Road,AsafAli Road n BhadurShah Zafar Marg,plz chk these locations,evry sec u wll find a rule break+ACI-,A
great 2 see +AEA-dtptraffic so active n vigilant on Del roads. it wz so common 2 see trafficpolice neglecting traffic rules breaker in old delhi,A
Nuisance every where nangloi chowk +AEA-PMOIndia +AEA-LtGovDelhi +AEA-dtptraffic +AEA-CPDelhi outside nangloi police station pic.twitter.com/zav7V3ZZFX,A
+AEA-dtptraffic extremely heavy traffic jam at ghazipur crossing near flyover. Struck at jam from past 40 min and still no end to it,A
For +AEA-dtptraffic pvt vehicles r rule breakers and commercial veh got a status of jamai ref. To peeragarhi chowk +AEA-PMOIndia +AEA-LtGovDelhi 1/2,A
Today again traffic lights not working +ACY- no traffic police ...soon the outcome will be a heavy traffic mess..need a permanent solution,A
+ACI-The same tempo traveller +AEA-same place, Informed the traffic constable about the same. No action taken+ACI-,A
If you are at rajori bridge take left on alt route n cross naraina fO n take the highway again.did same n crossed jam 10 mins,A
Heavy traffic jam at mahatma Gandhi road Plz remove the flipped truck +AEA-dtptraffic +AEA-DelhiPolice asap. pic.twitter.com/nCJ5Dt8Yh3,A
+AEA-dtptraffic +AEA-LtGovDelhi +AEA-CMODilli Sir Wednesday is day of traffic jams on Govind Puri Main Road request your support in afternoon +ACY- evening,A
+AEA-DelhiMetro+AF8- +AEA-DelhiMetro+AF8-Rail +AEA-CMODilli +AEA-LtGovDelhi Thanks Sir Delhi Metro didn't handled situation properly at Barakhamba Station also,A
+AEA-dtptraffic when that day will come when accountability will be there for such massive traffic jams. +ACM-new india+ACM-traffic jam free+ACM-wakeup,A
+AEA-dtptraffic kindly tell what had happened here at this hour. Traffic standstill for last more then 45 minutes at Karnal bypass,A
Many pvt. vans ferrying people from Ambedkar Nagar to Saket n Chirag Delhi in morning yet no action from +AEA-dtptraffic I wonder why,A
+ACI-+AEA-dtptraffic +AEA-DelhiPolice Akshardham Metro station has become major traffic bottleneck. Two PCR vans but staff gossiping, not managing crowd+ACI-,A
almost 1 hour passed in the traffic from rajouri garden to Dwarka more,A
traffic system in Uttam nagar is paralysed it is not in priority of police or they are not interested to correct it,A
+AEA-dtptraffic aapke officers strictly traffic rules follow nahin karwa paate. Unke saamne wrong side par log gaadi chalate hai.,A
+AEA-dtptraffic the timings of lights at Sant Nagar crossing on Lala Lajpat Rai rd are totally wrong. Please ask local TI to inspect +ACY- correct,A
+ACI-+AEA-dtptraffic big traffic jam at akshardham from noida due to illegal parking no policing , vendors have a good time+ACI-,A
+AEA-dtptraffic +AEA-htTweets massive traffic jam at manekshaw red light coming from NH8. Road blocked by police by using Ropes+ACE- +AEA-CPDelhi,A
Daily Traffic Problem at Pacific Mall Red Light +AEA-dtptraffic +AEA-JarnailSinghAAP,A
Do we have a solution for chok a block traffic at janakpuri distt centre +AEA-dtptraffic +AEA-LtGovDelhi +AEA-ArvindKejriwal +AEA-SatyendarJain +AEA-PMOIndia,A
+AEA-dtptraffic every evening your team conducts checks at Kalindi Barrage however it causes huge bottlenecks due to an already narrow carriage,A
Once again signal lights are either out of order or intentionally kept on manual at kalindi kunj signal +AEA-dtptraffic dis hs becme daily afair,A
+ACI-+AEA-dtptraffic traffic jam between preet vihar to madhu vihar immediate after leaving vikas marg, no http:// movement.help+ACI-,A
Still no action in last 4 days.Half of road is occupied by fruit sellers near GTB hospital. pic.twitter.com/8cq85F81oo,A
When will action taken by traffic police for mess created by e+AC0-rickshaw and autos in front of shahdara metro station ? +AEA-dtptraffic,A
+AEA-dtptraffic is oversmart. Informed challan value as Rs.500. We gave. They printed receipt of Rs.200 +ACY- didn't return Rs.300 +AEA-CPDelhi +ACM-Delhi pic.twitter.com/gXFbP74SOR,A
+AEA-LtGovDelhi +AEA-htTweets Please suggest whom to report the Auto Encroachment if this is beyond control of +AEA-dtptraffic at Gokal Pur Red Light pic.twitter.com/5NdqcjuYo7,A
+ACI-+AEA-LtGovDelhi +AEA-dtptraffic Even after highlighting it for a long now, Auto Encroachment at Gokal Pur Red Light remains intact..+ACEAIQ- pic.twitter.com/ZBK81lOv5g+ACI-,A
+AEA-dtptraffic +AEAAQA-DCPNEastDelhi traffic signal is not working at MOJPUR crossing in North East Delhi at MAJOR ASHA RAM TYAGI MARG,A
Been in jam for last 2 hours pic.twitter.com/zaBYj0s5oh,A
My apologies it's not nh24 but Delhi Gurgaon expressway next to air port,A
+AEA-dtptraffic traffic jam on NH 24 on way to airport no car is moving am just next to hotel lohias for 50 min please help pic.twitter.com/wGz4YPRyjc,A
Mountain of Garbage dump is perpetually on fire near Mukarba Chowk +ACY- traffic is alway jam. +AEA-narendramodi +AEA-dtptraffic +AEA-DelhiPolice pic.twitter.com/10Mqpaw4Q5,A
+ACI-Sir huge traffic on daily basis due to damaged road from Ptatap Nagar metro towards Azad Market ,pls work on it +AEA-tweetndmc +AEA-dtptraffic+ACI-,A
+AEA-dtptraffic wrong side running traffic making jam at Wazirabad band. Please do something,A
Huge traffic jam from PrAtap nagar metro station towards Azad Market . +AEA-dtptraffic,A
